"THAI-SUP","THAI-SUP","2101073871ESJ9000110","65.224","226.78","265.79","168.21","165.86","185.18","221.01","198.49","183.54","245.41","216.77","229.03","228.58","290.86","291.29","325.41","316.47","","","","","","","","","","","","","","",""
"Nissan KKT","Nissan KKT","50KTL-M3(COM1-12)","53.2","140.2","175.52","118.61","128","16.61","145.96","127.51","113.14","171.1","151.49","132.23","13.15","172.88","144.74","189.23","180.76","","","","","","","","","","","","","","",""
"Nissan KKT","Nissan KKT","50KTL-M3(COM1-13)","53.2","141.17","181.88","119.25","129.69","16.64","146.68","130.99","112.75","176.08","151.05","132.15","13.2","174.61","143.72","194.98","194.65","","","","","","","","","","","","","","",""
"Nissan KKT","Nissan KKT","50KTL-M3(COM1-14)","53.2","136.45","182.95","117.71","127.48","16.58","142.93","126.28","110.33","171.32","148.2","129.68","13.13","175.82","142.91","191.15","191.63","","","","","","","","","","","","","","",""
"Nissan KKT","Nissan KKT","50KTL-M3(COM1-15)","51.87","142.23","184.57","120.46","132.71","16.66","148.45","132.43","114.6","177.31","153.75","134.46","13.17","180.93","147.15","198.04","198.84","","","","","","","","","","","","","","",""
"Offline Prime","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Offline Prime","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Offline Prime","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Offline Prime","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Offline Prime","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Offline Prime","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Offline Prime","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Offline Prime","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-1","53.2","212.06","238.42","152.16","117.58","123.61","181.53","172.79","211.23","208.71","217.78","194.92","128.66","211.95","220.53","213.91","142.79","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-10","53.2","219.09","259.15","152.14","116.89","122.77","188.95","190.23","235.65","217.88","234.71","220.99","128.22","233.22","246.37","229.09","162.75","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-17","53.2","215.38","247.35","150.27","117.25","123.36","190.25","181.76","234.57","213.78","224.13","213.02","128.01","223.44","233.7","222.01","152.14","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-2","53.2","213.56","237.15","150.23","117.27","123.2","187.51","172.19","215.19","214.18","226.97","209.66","127.98","224.52","225.93","220.33","147.92","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-3","53.2","203.35","217.77","150.86","117.86","123.27","180.55","171.38","201.52","196.88","204.61","199.37","128.1","209.73","207.21","220.77","149.31","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-4","53.2","218.92","262.81","149.17","116.3","122.76","196.54","190.49","236.05","217.99","234.87","220.1","127.73","233.54","249.7","238.48","160.92","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-5","53.2","202.08","228.92","152.94","117.27","123.3","164.17","165.89","217.52","204.95","223.47","201.06","128.32","221.35","224.32","230.67","152.52","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-6","53.2","213.77","239.19","153.36","117.28","123.27","176.82","164.97","206.39","202.83","218.35","198.47","128.19","216.36","206.51","211.7","142.95","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-8","53.2","211.79","249.21","149.88","115.29","122.72","184.96","175.68","216.69","214.56","225.01","215.77","127.33","225.23","228.76","229.3","154.64","","","","","","","","","","","","","","",""
"CJ Manufacturing","CJ Manufacturing","50KTL-M3COM-9","53.2","217.48","257.87","151.62","116.76","123.16","185.68","185.53","233.09","216.44","229.54","214.68","128.14","226.75","232.26","226.55","153.4","","","","","","","","","","","","","","",""
"Poomsuk","Poomsuk","6T2139008613","97.2","379.95","340.09","403.5","272.54","301.76","252.63","373.48","326.55","343.27","302.77","195.94","373.65","386.97","288.07","363.96","357.58","","","","","","","","","","","","","","",""
"Poomsuk","Poomsuk","6T2139008648","97.2","379.43","339.76","402.68","272.35","302.04","251.45","371.56","325.55","341.17","300.42","193.71","372.87","385.37","286.2","362.31","354.96","","","","","","","","","","","","","","",""
"AAG Corporation","AAG","AAG_100KTL_NO_01","124.08","562.15","523.14","547.37","310.61","107.43","550.75","447.86","544.61","514.32","485.81","160.72","84.65","431.49","416.13","470.96","442.7","","","","","","","","","","","","","","",""
"AAG Corporation","AAG","AAG_100KTL_NO_02","123.42","561.34","526.26","551.44","312.14","107.09","556.21","450.33","545.78","517.94","488.79","160.61","84.05","433.98","418.06","471.13","442.81","","","","","","","","","","","","","","",""
"AAG Corporation","AAG","AAG_50KTL_NO_03","52.8","239.63","228.49","238.14","133.38","52.67","233.91","194.91","235.57","220.28","212.9","78.84","41.64","189.43","180.91","203.88","191.76","","","","","","","","","","","","","","",""
"AMW","Auto Motion Work","AMW_33KTL_05","32.5","97.56","128.34","88.44","84.6","81.62","101.88","91.58","85.32","125.02","101.54","115.4","119.6","129.1","121.86","145.1","127.22","","","","","","","","","","","","","","",""
"AMW","Auto Motion Work","AMW_33KTL_06","32.5","98.52","130.44","88.96","85.46","82.3","102.94","92.18","86.04","126.6","102.48","116.74","121.76","130.92","123.74","147.76","129.04","","","","","","","","","","","","","","",""
